method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her_recovery,action_clipping,0.3,1.0,-6.466666666666667,0.0177819548140496,50.0,0.0659888556227088,0.2725942203154166,0.0,0.9333333333333332,30,1.0,0.8987322366069841,1.0,1.0,0.9333333333333332,0.9664131139880636,0.9597464473213968,0.9597464473213968
sac_plain,action_clipping,0.3,1.0,-6.466666666666667,0.0180133276150774,50.0,0.0227930108706156,0.2844032802929481,0.0,0.0,30,1.0,0.9216836575217796,1.0,1.0,0.0,0.7843367315043559,0.6843367315043559,0.6843367315043559
sac_plain_recovery,action_clipping,0.3,1.0,-6.466666666666667,0.0177819548140496,50.0,0.0659888556227088,0.2725942203154166,0.0,0.9333333333333332,30,1.0,0.8987322366069841,1.0,1.0,0.9333333333333332,0.9664131139880636,0.9597464473213968,0.9597464473213968
random,clean,0.0,0.23333333333333334,-48.86666666666667,0.22844395871025436,50.0,1.5787023425102233,1.1281076550483704,0.9666666666666667,0.0,30,0.23333333333333334,0.0,0.23333333333333334,0.033333333333333326,1.0,0.30000000000000004,0.38666666666666666,0.38666666666666666
random_recovery,clean,0.0,1.0,-6.366666666666666,0.0033808421513535376,50.0,0.06421292287607988,0.13288823465506236,0.1,1.0,30,1.0,0.9748505387440374,1.0,0.9,1.0,0.9749701077488075,0.9799701077488074,0.9799701077488074
rule_based,clean,0.0,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.0,30,1.0,0.9889941828449424,1.0,1.0,1.0,0.9977988365689886,0.9977988365689885,0.9977988365689885
rule_based_recovery,clean,0.0,1.0,-5.233333333333333,0.002770256818949397,50.0,0.014720749435946345,0.09728330771128336,0.0,0.23333333333333334,30,1.0,0.9889941828449424,1.0,1.0,1.0,0.9977988365689886,0.9977988365689885,0.9977988365689885
sac_her,clean,0.0,1.0,-1.7,0.017906824302275925,50.0,0.04587929310897986,0.4218887483080228,0.8333333333333334,0.0,30,1.0,0.9413437993809692,1.0,0.16666666666666663,1.0,0.8216020932095273,0.8632687598761939,0.8632687598761939
sac_her_recovery,clean,0.0,1.0,-2.933333333333333,0.007042945953390389,50.0,0.06439759662995735,0.17734021122256916,0.8333333333333334,1.0,30,1.0,0.9651853609968803,1.0,0.16666666666666663,1.0,0.8263704055327094,0.868037072199376,0.868037072199376
sac_plain,clean,0.0,1.0,-1.7,0.017906824302275925,50.0,0.04587929310897986,0.4218887483080228,0.8333333333333334,0.0,30,1.0,0.9413437993809692,1.0,0.16666666666666663,1.0,0.8216020932095273,0.8632687598761939,0.8632687598761939
sac_plain_recovery,clean,0.0,1.0,-2.933333333333333,0.007042945953390389,50.0,0.06439759662995735,0.17734021122256916,0.8333333333333334,1.0,30,1.0,0.9651853609968803,1.0,0.16666666666666663,1.0,0.8263704055327094,0.868037072199376,0.868037072199376
