method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
sac_plain,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_plain,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_plain,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
sac_plain_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
sac_plain,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
sac_plain_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
sac_plain,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
sac_plain_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
sac_plain,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
sac_plain,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_plain,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
sac_plain_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
sac_plain,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_plain,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
sac_plain_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.5109942031271204,50,0.007537860423326492,1.9915380477905273,1.0,0.0,0
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.022341680008466803,50,0.11688343435525894,0.5032261610031128,1.0,1.0,0
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.4828760755577426,50,0.07341543585062027,1.9091130495071411,1.0,0.0,1
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.0007966611936597671,50,0.1184859499335289,0.43776971101760864,1.0,1.0,1
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.0878065236944408,50,0.05381566286087036,1.9555907249450684,1.0,0.0,2
sac_plain_recovery,action_reverse,0,0.0,-21.0,1.0,0.002933146061941292,50,0.1955396831035614,0.5382155179977417,1.0,1.0,2
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.0683563592187406,50,0.05031554400920868,1.964013695716858,1.0,0.0,3
sac_plain_recovery,action_reverse,0,0.0,-16.0,1.0,0.002596117974383185,50,0.11688343435525894,0.4364855885505676,1.0,1.0,3
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.413934423727983,50,0.0386989526450634,1.819307565689087,1.0,0.0,4
sac_plain_recovery,action_reverse,0,0.0,-23.0,1.0,0.004414129365927252,50,0.18991020321846008,0.556481659412384,1.0,1.0,4
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.3809919501829326,50,0.040152762085199356,1.8207811117172241,1.0,0.0,5
sac_plain_recovery,action_reverse,0,0.0,-16.0,1.0,0.0007871757322112717,50,0.11685103178024292,0.41223034262657166,1.0,1.0,5
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.4210686921925153,50,0.02410314977169037,1.9612022638320923,1.0,0.0,6
sac_plain_recovery,action_reverse,0,0.0,-14.0,1.0,0.0007974320838635484,50,0.11386682838201523,0.3436969518661499,1.0,1.0,6
sac_plain,action_reverse,0,0.0,-50.0,0.0,0.8403382837638393,50,0.027305152267217636,1.9541336297988892,1.0,0.0,7
sac_plain_recovery,action_reverse,0,0.0,-15.0,1.0,0.0007900712336238931,50,0.11855103075504303,0.37919777631759644,1.0,1.0,7
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.296595615776039,50,0.04961979016661644,1.9007775783538818,1.0,0.0,8
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.000827509420380435,50,0.11232694983482361,0.4373423457145691,1.0,1.0,8
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.255115560184368,50,0.008520318195223808,1.9862979650497437,1.0,0.0,9
sac_plain_recovery,action_reverse,0,0.0,-16.0,1.0,0.000710651145966162,50,0.15075074136257172,0.4543496370315552,1.0,1.0,9
random,action_delay,1,0.0,-50.0,0.0,0.11812888507090265,50,0.0,0.0,0.0,0.0,0
random_recovery,action_delay,1,0.0,-50.0,0.0,0.11812888507090265,50,0.0,0.0,0.0,0.0,0
random,action_delay,1,0.0,-50.0,0.0,0.16674804083353512,50,0.0,0.0,0.0,0.0,1
random_recovery,action_delay,1,0.0,-14.0,1.0,0.003193431760596154,50,0.07072333991527557,0.34668442606925964,0.0,1.0,1
